Folder,Filename,Optional New Filename,"Project Name
(street name)",Before or After?,"Keywords
(semicolons)",Notes
lighting,Craig Street (6),,,After,landscape lighting; outdoor lights; night; pergola; lighting; outdoor living,
lighting,Decorative-Lighting-Installation.jpg,,,After,decorative lighting; landscape lighting; outdoor lights,
lighting,Estonia (3),,,After,landscape lighting; outdoor lights; night; pathway lighting,
lighting,Estonia (6),,,After,landscape lighting; outdoor lights; night; backyard lighting,
lighting,Hopper (17),,,After,landscape lighting; outdoor lights; night; pergola; lighting; outdoor living,
lighting,Hopper (18),,,After,landscape lighting; boulders; rock; outdoor lights; night,
lighting,Landscape-Lighting-Boulders.jpg,,,After,landscape lighting; boulders; rock; outdoor lights; night,
lighting,Winter-Wonderland-of-Lights.jpg,,,After,holiday lighting; christmas lights; winter wonderland,
LAWN MAINTENANCE,,,,,,
maintenance,10960107_874981095858472_3314235866754105971_o.jpg,,,After,landscape; flowerbed; native landscape; lawn maintenance,
maintenance,Amaranth-Cocks-Comb-Liriope.jpg,,,After,amaranth; cockscomb; liriope; flowers; seasonal color,
maintenance,Blue-Salvia-Seasonal-Color-Native-Grasses.jpg,,,After,blue salvia; seasonal color; native grasses; ornamental grass,
maintenance,Flowering-Kale-Liriope-Dwarf-Yupon-Nandinas.jpg,,,After,flowering kale; liriope; dwarf yaupon; nandina; shrubs,
maintenance,Irrigation-Sage-Rosemary-Grey-Santolina-Knock-Out-Roses.jpg,,,After,irrigation; sage; rosemary; santolina; knockout roses,
maintenance,Lawn Maintenance (2),,,After,lawn maintenance; shrub trimming; manicured lawn,
maintenance,Lawn Maintenance (3),,,After,landscape maintenance; lawn; sod; knockout roses; stone border,
maintenance,Lawn Maintenance (4),,,After,landscape maintenance; planter boxes; seasonal color; shrub trimming,
maintenance,Lawn Maintenance (5),,,After,lawn maintenance; shrub trimming; manicured lawn; yard of the month,
maintenance,Lawn Maintenance (6),,,After,lawn maintenance; shrub trimming; manicured lawn,
maintenance,Low-Maintenance-Landscape.jpg,,,After,low maintenance; landscape; lawn; clean; simple,
maintenance,Shrub-Trimming-Monkey-Grasses.jpg,,,After,shrub trimming; monkey grass; liriope; pruning,
OUTDOOR LIVING & PERGOLAS,,,,,,
outdoor-living,20170320_105545-scaled.jpg,,,After,pergola; pathway; back yard,
outdoor-living,Back-Patio-Pergola.jpg,,,After,pergola; back patio; patio; outdoor living,
outdoor-living,Colonial-Column-Patio-Pergola-Patio-Furniture.jpg,,,After,pergola; colonial columns; patio furniture; outdoor seating,
outdoor-living,Craig Street (5),,,After,pergola; patio; outdoor living; native landscape; cedar,
outdoor-living,Flagstone-Pathway-Pergola.jpg,,,After,flagstone; pathway; pergola; stone,
outdoor-living,Flagstone-Pathway-Pergola-Gazebo.jpg,,,After,flagstone; pathway; pergola; gazebo; stone,
outdoor-living,Hopper (1),,,After,pergola; back patio; patio; outdoor living,
outdoor-living,Hopper (11),,,After,pergola; back patio; patio; outdoor living; swimming pool,
outdoor-living,Hopper (21),,,After,pergola; patio; porch swing; fire pit,
outdoor-living,Outdoor-Kitchen-and-Grill.jpg,,,After,outdoor kitchen; grill; BBQ; cooking; outdoor living,
outdoor-living,Outdoor-Living-Fire-Pit-with-Stump-Chairs.jpg,,,After,fire pit; outdoor living; seating; chairs; bonfire,
outdoor-living,P7150005rev-0.jpg,,,After,pergola; cedar; flagstone patio; backyard porch,
outdoor-living,PA090013.jpg,,,After,cedar pergola; colonial colunms; back porch; patio,Street name + keywords needed from David
outdoor-living,PA090039.jpg,,,After,cedar pergola; colonial colunms; back porch; patio,Street name + keywords needed from David
outdoor-living,Red-Cedar-Frame-Pergola.jpg,,,After,pergola; cedar; wood; outdoor living; red cedar,
outdoor-living,Simple-Pergola-Seating-Dog-Park.jpg,,,After,pergola; seating; simple; outdoor living,
outdoor-living,Stained-Concrete-Gazebo-Outdoor-Living.jpg,,,After,gazebo; stained concrete; outdoor living; patio,
outdoor-living,Stamped-and-Stained-Concrete-Patio-with-Cedar-Pergola.jpg,,,After,stamped concrete; stained concrete; cedar pergola; patio,
WATER FEATURES,,,,,,
water-features,10603965_874980835858498_5371503647421050174_o.jpg,,,After,floating waterfall; fountain; river rock; retaining wall; invisible basin,
water-features,20170623_1219330-scaled.jpg,,,After,overflow pot; fountain; river rock; invisible basin,
water-features,20171006_155642.jpg,,,After,pond; waterfall; backyard water feature; koi pond,
water-features,Basalt-Column-Water-Feature-and-Dry-River-Bed.jpg,,,After,basalt column; water feature; dry river bed; rock,
water-features,Basalt-Water-Feature-Dry-River-Bed.jpg,,,After,basalt; water feature; dry river bed; rock,
water-features,Contemperaty-Water-Feature.jpg,,,After,contemporary; water feature; modern; water,
water-features,Craig Street (1),,,After,creek bed; river rock; bridge; native landscape,
water-features,Craig Street,,,After,creek bed; river rock; bridge; native landscape; pergola;outdoor living,
water-features,Garden-Water-Fountain.jpg,,,After,garden; fountain; water feature; water garden,
water-features,Hot-Tub-Swimming-Pool-Fountain.jpg,,,After,hot tub; swimming pool; fountain; pool; water feature,
water-features,Hot-Tub-Water-Fountain.jpg,,,After,hot tub; fountain; water feature; water,
water-features,Irrigation-and-Pond-Maintenance.jpg,,Riverbend HOA,Before,irrigation; pond; maintenance; water; pond maintenance,
water-features,Lilly Pad Pond (3),,,After,lilly pad; garden; pond; waterfall; koi pond,
water-features,Lilly Pad Pond (5),,,After,lilly pad; garden; pond; waterfall; koi pond,
water-features,Lilly Pad Pond (9),,,After,lilly pad; garden; pond; waterfall; koi pond,
water-features,Norman (2),,,After,raised bed; rock fountain; native landscape; outdoor living,
water-features,Outdoor-Living-Tuscan-Multi-Basin-Fountain.jpg,,,After,tuscan; fountain; multi-basin; outdoor living; water feature,
water-features,Pottery-Fountain.jpg,,,After,pottery; fountain; pot; water feature; ceramic,
water-features,Rustic-Southern-Fountain.jpg,,,After,rustic; southern; fountain; water feature,
water-features,Spill-Over-Pottery-Water-Feature-with-Magnolias-and-Japanese-Maples-and-Flagstone-Pathway.jpg,,,After,spill over pottery; water feature; magnolia; japanese maple; flagstone,
water-features,Stream-with-bridge.jpg,,,After,stream; bridge; water feature; naturalistic; creek,
water-features,Tower-fountains.jpg,,,After,tower fountain; water feature; fountain,
water-features,Tuscan-Pottery-Fountain.jpg,,,After,tuscan; pottery; fountain; water feature; ceramic,
water-features,Waterfall-Rock-Boulders.jpg,,,After,waterfall; rock; boulders; water feature,
PROJECTS  ← Fill in street names,,,,,,
projects,Estonia before (1),,Estonia,Before,,
projects,Estonia before (2),,Estonia,Before,,
projects,Estonia before (3),,Estonia,Before,,
projects,Estonia before (4),,Estonia,Before,,
projects,Estonia before (5),,Estonia,Before,,
projects,Estonia before (14),,Estonia,Before,,
projects,Estonia before (15),,Estonia,Before,,
projects,Estonia front (2),,Estonia,After,,
projects,Estonia front (6),,Estonia,After,,
projects,Estonia front (7),,Estonia,After,,
projects,Estonia front (8),,Estonia,After,,
projects,Estonia front (9),,Estonia,After,,
projects,Estonia front (10) 1,,Estonia,After,,
projects,Estonia front (10),,Estonia,After,,
projects,Estonia front (11) 1,,Estonia,After,,
projects,Estonia front (11),,Estonia,After,,
projects,Estonia front (12) 2,,Estonia,After,,
projects,Estonia front (12),,Estonia,After,,
projects,Estonia front (13) 2,,Estonia,After,,
projects,Estonia front (13),,Estonia,After,,
projects,Estonia front (14),,Estonia,After,,
projects,Estonia front (15),,Estonia,After,,
projects,Estonia front (16),,Estonia,After,,
projects,Estonia front (17),,Estonia,After,,
projects,Estonia front (18),,Estonia,After,,
projects,Estonia front,,Estonia,After,,
projects,Estonia lighting (3),,Estonia,After,,
projects,Estonia lighting (4),,Estonia,After,,
projects,Estonia lighting (5),,Estonia,After,,
projects,Estonia pot,,Estonia,After,,
projects,Estonia side (7),,Estonia,After,,
projects,Estonia side (9),,Estonia,After,,
projects,Estonia back (3),,Estonia,After,,
projects,Estonia back (19),,Estonia,After,,
projects,Estonia back (20),,Estonia,After,,
projects,Estonia back (21),,Estonia,After,,
projects,Estonia back (22),,Estonia,After,,
projects,Gaucho Trl (1),,Gaucho Trail,After,flower bed; native landscape; grasses; agave; loriope; cactus; yucca,
projects,Gaucho Trl (2),,Gaucho Trail,Before,,
projects,Gaucho Trl (3),,Gaucho Trail,Before,,
projects,Gaucho Trl (4),,Gaucho Trail,Before,,
projects,Gaucho Trl (5),,Gaucho Trail,Before,,
projects,Gaucho Trl (6),,Gaucho Trail,After,flower bed; native landscape; grasses; agave; loriope; cactus; yucca,
projects,Gaucho Trl (7),,Gaucho Trail,After,flower bed; native landscape; grasses; agave; loriope; cactus; yucca,
projects,Hartwood (1),,Hartwood,Before,,
projects,Hartwood (2),,Hartwood,Before,,
projects,Hartwood (3),,Hartwood,Before,,
projects,Hartwood (4),,Hartwood,Before,,
projects,Hartwood (5),,Hartwood,Before,,
projects,Hartwood (6),,Hartwood,After,mini putting green; putt-putt; artificial turf; golf,
projects,Hartwood (7),,Hartwood,After,mini putting green; putt-putt; artificial turf; golf,
projects,Hartwood (8),,Hartwood,After,mini putting green; putt-putt; artificial turf; golf; Jane Magnolia; seasonal color,
projects,Hartwood (9),,Hartwood,After,mini putting green; putt-putt; artificial turf; golf; Jane Magnolia; seasonal color,
projects,Hartwood (10),,Hartwood,After,mini putting green; putt-putt; artificial turf; golf; Jane Magnolia; seasonal color,
projects,Hartwood (11),,Hartwood,After,mini putting green; putt-putt; artificial turf; golf,
projects,Hartwood (12),,Hartwood,Before,,
projects,Lueck (1),,Lueck,After,grasses; knockout roses; dracaena red ruby plant; ivy,
projects,Lueck (2),,Lueck,After,grasses; dracaena red ruby plant; ivy,
projects,Lueck (3),,Lueck,Before,,
projects,Lueck (4),,Lueck,After,skyrocket juniper; knockout roses; japanese maple; day lilly,
projects,Lueck (5),,Lueck,After,drift roses; knockout rose; boulder ,
projects,Lueck (6),,Lueck,After,drift roses; knockout rose; boulder;  littl gem magnolias,
projects,Lueck (7),,Lueck,Before,,
projects,Lueck (8),,Lueck,Before,,
projects,Lueck (9),,Lueck,After,red yucca; coreopsis; boulder; knock out roses; landscape boulder; little gem magnolias,
projects,Lueck (10),,Lueck,After,drift roses; knockout rose; boulder;  littl gem magnolias,
projects,Lueck (11),,Lueck,After,little gem magnolia; knock out roses; lush landscape,
projects,Lueck (12),,Lueck,After,little gem magnolia; red yucca; poolside landscape,
projects,Lueck (13),,Lueck,After,"white and pink guara, hypericum, butterfly bush",
projects,Prairieside Dr (2) 1,,Prairieside,Before,,
projects,Prairieside Dr (3) 2,,Prairieside,Before,,
projects,Prairieside Dr (3),,Prairieside,After,"muhley grass, cactus, stone boulder",
projects,Prairieside Dr (4),,Prairieside,After,,
projects,Prairieside Dr (5),,Prairieside,After,,
projects,Prairieside Dr (6),,Prairieside,After,,
projects,Prairieside Dr (7),,Prairieside,After,,
projects,Prairieside Dr (8),,Prairieside,After,,
projects,Prairieside Dr (9),,Prairieside,After,,
projects,Prairieside Dr (10),,Prairieside,After,,
projects,Prairieside Dr (11),,Prairieside,After,,
projects,Prairieside Dr (12),,Prairieside,After,,
projects,Preston Way (1),,Preston Way,After,,
projects,Preston Way (2),,Preston Way,After,,
projects,Preston Way (3),,Preston Way,After,,
projects,Preston Way (4),,Preston Way,After,,
projects,Preston Way (5),,Preston Way,After,,
projects,Preston Way (6),,Preston Way,After,,
projects,Preston Way (8) before,,Preston Way,Before,,
projects,Preston Way (9) before,,Preston Way,Before,,
projects,Preston Way (10) before,,Preston Way,Before,,
projects,Preston Way (12) before,,Preston Way,Before,,
projects,Preston Way (15) before,,Preston Way,Before,,
projects,Preston Way (16) before,,Preston Way,Before,,
projects,Preston Way (18),,Preston Way,After,,
projects,Preston Way (20),,Preston Way,After,,
projects,Robbins (1),,Robbins,After,,
projects,Robbins (2),,Robbins,Before,,
projects,Robbins (3),,Robbins,Before,,
projects,Robbins (4),,Robbins,Before,,
projects,Robbins (5),,Robbins,Before,,
projects,Robbins (6),,Robbins,Before,,
projects,Robbins (7),,Robbins,After,,
projects,Sundem (1) lighting,,Sundem,After,,
projects,Sundem (1),,Sundem,After,,
projects,Sundem (2) lighting,,Sundem,After,,
projects,Sundem (2),,Sundem,After,,
projects,Sundem (3),,Sundem,After,,
projects,Sundem (4),,Sundem,After,,
projects,Sundem (5),,Sundem,After,,
projects,Sundem (7),,Sundem,After,,
projects,Sundem (8),,Sundem,After,,
projects,Sundem (10),,Sundem,After,,
projects,Sundem (11),,Sundem,After,,
projects,Whitney (1),,Whitney,Before,,
projects,Whitney (2),,Whitney,Before,,
projects,Whitney (3),,Whitney,Before,,
projects,Whitney (4),,Whitney,After,,
projects,Whitney (5),,Whitney,After,,
projects,Whitney (6),,Whitney,After,,
projects,Wyndham (1),,Wyndham,After,,
projects,Wyndham (1),,Wyndham,After,,
projects,Wyndham (1),,Wyndham,After,,
projects,Wyndham (1),,Wyndham,After,,
projects,Wyndham (1),,Wyndham,After,,
projects,Wyndham (1),,Wyndham,After,,
projects,Wyndham (1),,Wyndham,After,,
,,,,,,
MISC  ← Pending review,,,,,,
misc,Sundem Video,,Sundem,After,,Facebook export - identify subject
ACCOLADES,,,,,,
accolades,Home-and-Garden-Show-Awards-700x395.jpg,,,,awards; home and garden show; recognition,Award photo
accolades,JOE-TS-003.jpg,,,,joe t garcias; fort worth garden club,"Joe T Garcias, Fort Worh"
accolades,P1130026.jpg,,,,state fair of texas; planter boxes,"State Fair of Texas, Fort Worth Fairgrounds"
accolades,Testimonials-4-001.jpg,,,,water feature; landscape construction,testimonial
ABOUT,,,,,,
About,David Felker,,,,,David's about picture
About,Ericka Felker,,,,,"Ericka's about picture, remove ""the voice you often hear on the phone and"""
About,Kathy Pinke,,,,,"Kathy's about picture, 22 years"
